,Temp_Avg_C,Temp_Max_C,Temp_Min_C,Humidity_%,WindSpeed_ms,Solar_MJm2day,Rainfall_mm,ET0_mm_day,es_kPa,ea_kPa,VPD_kPa,Rn_MJm2day,Ra_MJm2day,Month
2019-01-01,8.27,15.85,1.08,47.41,1.54,12.93,0.0,2.641488959286576,1.2307244671179989,0.5834864698606432,0.6472379972573556,8.03800312597529,36.39084641017862,1
2019-01-02,8.5,15.94,1.5,43.96,1.81,14.37,0.0,2.957957904641585,1.2460584808575619,0.5477673081849842,0.6982911726725777,8.611639976907377,36.40992085081852,1
2019-01-03,8.05,16.66,2.35,41.25,2.78,14.93,0.0,3.5514019338951957,1.3099415345732508,0.5403508830114659,0.7695906515617849,8.812622223592438,36.430170526111844,1
2019-01-04,6.57,14.53,0.86,49.99,2.46,15.02,0.0,2.9433482810836757,1.1522637159094635,0.5760166315831409,0.5762470843263227,8.959976545075355,36.451568523720304,1
2019-01-05,6.24,14.29,0.2,49.51,2.41,15.04,0.0,2.9040627684157787,1.1243434300436943,0.5566624322146331,0.5676809978290612,8.967836971408124,36.474086051646275,1
2019-01-06,7.82,15.83,-0.33,37.14,1.52,15.14,0.0,2.965347407713169,1.1974610642374586,0.4447370392577921,0.7527240249796665,8.86638919938722,36.49769247125058,1
2019-01-07,8.0,17.37,1.01,27.32,1.79,15.56,0.0,3.5084371027365253,1.3204085288964782,0.3607356100945178,0.9596729188019604,8.86888254270724,36.52235533261454,1
2019-01-08,7.79,14.94,0.86,31.86,1.51,14.89,0.0,3.0085424741612914,1.1744367861041847,0.37417556005279323,0.8002612260513915,8.684072174209035,36.54804041222116,1
2019-01-09,6.9,16.2,-0.73,33.11,2.06,14.95,0.0,3.3259328620135507,1.2103734905147232,0.40075466270942484,0.8096188278052984,8.746843988789829,36.574711752928934,1
2019-01-10,6.81,17.1,-0.14,32.13,2.75,15.58,0.0,3.8494612499606258,1.2773239549567177,0.41040418672759343,0.8669197682291243,8.98633847309178,36.60233170620861,1
2019-01-11,6.91,14.86,1.62,60.41,2.8,15.38,0.0,2.7847119310281623,1.188358240628113,0.7178872131634431,0.47047102746466996,9.26393944996897,36.630860976610954,1
2019-01-12,4.81,11.65,-0.69,45.23,2.42,15.65,0.0,2.833226402883835,0.9756604192722125,0.44129120763682167,0.5343692116353909,9.196532405257585,36.66025866843112,1
2019-01-13,6.3,13.24,-0.8,43.83,1.36,15.76,0.0,2.6525617472878777,1.0487938240800603,0.4596863330942904,0.5891074909857699,9.23708205139198,36.69048233453207,1
2019-01-14,7.83,16.99,0.43,37.79,1.47,16.09,0.0,3.0991810623514082,1.283341367561176,0.48497470280136845,0.7983666647598076,9.301171506808512,36.72148802728725,1
2019-01-15,8.94,17.75,1.14,29.32,1.33,16.18,0.0,3.2511710622376504,1.3475706727775212,0.39510772125836924,0.952462951519152,9.18751302593762,36.75323035159948,1
2019-01-16,8.74,17.2,1.98,27.66,1.39,16.08,0.0,3.2949180770090263,1.3335288679972055,0.36885408488802707,0.9646747831091784,9.111073724868707,36.785662519950414,1
2019-01-17,7.21,15.27,0.94,32.84,1.84,14.78,0.0,3.1879699411966307,1.1945439049147186,0.39228821837399364,0.802255686540725,8.69394071343763,36.818736409431686,1
2019-01-18,9.36,15.71,2.71,31.16,1.35,15.62,0.0,3.105796653404343,1.2635946822486517,0.39373610298867984,0.8698585792599718,8.995522122765474,36.85240262070613,1
2019-01-19,8.2,15.8,1.34,48.99,2.5,15.44,0.01,3.1485059936259274,1.2340934435858895,0.6045823780127273,0.6295110655731622,9.198025674462396,36.886610538843996,1
2019-01-20,9.8,19.05,2.68,38.87,2.04,16.01,0.0,3.6108493999660123,1.4724927342686667,0.5723579258102307,0.900134808458436,9.314210005202881,36.921308395976546,1
2019-01-21,9.67,15.79,5.59,53.73,4.23,16.04,0.0,3.612641073552536,1.3514680208973073,0.7261437676281233,0.6253242532691841,9.520319109901656,36.95644333570561,1
