,Temp_Avg_C,Temp_Max_C,Temp_Min_C,Humidity_%,WindSpeed_ms,Solar_MJm2day,Rainfall_mm
2019-01-01,8.27,15.85,1.08,47.41,1.54,12.93,0.0
2019-01-02,8.5,15.94,1.5,43.96,1.81,14.37,0.0
2019-01-03,8.05,16.66,2.35,41.25,2.78,14.93,0.0
2019-01-04,6.57,14.53,0.86,49.99,2.46,15.02,0.0
2019-01-05,6.24,14.29,0.2,49.51,2.41,15.04,0.0
2019-01-06,7.82,15.83,-0.33,37.14,1.52,15.14,0.0
2019-01-07,8.0,17.37,1.01,27.32,1.79,15.56,0.0
2019-01-08,7.79,14.94,0.86,31.86,1.51,14.89,0.0
2019-01-09,6.9,16.2,-0.73,33.11,2.06,14.95,0.0
2019-01-10,6.81,17.1,-0.14,32.13,2.75,15.58,0.0
2019-01-11,6.91,14.86,1.62,60.41,2.8,15.38,0.0
2019-01-12,4.81,11.65,-0.69,45.23,2.42,15.65,0.0
2019-01-13,6.3,13.24,-0.8,43.83,1.36,15.76,0.0
2019-01-14,7.83,16.99,0.43,37.79,1.47,16.09,0.0
2019-01-15,8.94,17.75,1.14,29.32,1.33,16.18,0.0
2019-01-16,8.74,17.2,1.98,27.66,1.39,16.08,0.0
2019-01-17,7.21,15.27,0.94,32.84,1.84,14.78,0.0
2019-01-18,9.36,15.71,2.71,31.16,1.35,15.62,0.0
2019-01-19,8.2,15.8,1.34,48.99,2.5,15.44,0.01
2019-01-20,9.8,19.05,2.68,38.87,2.04,16.01,0.0
2019-01-21,9.67,15.79,5.59,53.73,4.23,16.04,0.0
2019-01-22,6.91,13.63,1.68,51.73,3.42,16.87,0.0
2019-01-23,9.02,18.22,1.62,55.36,3.2,16.48,0.0
2019-01-24,10.45,19.24,3.49,60.65,2.67,16.68,0.0
2019-01-25,10.67,17.93,4.11,67.84,1.65,16.65,0.01
2019-01-26,11.1,19.45,3.87,54.46,1.42,16.85,0.0
2019-01-27,11.37,21.52,4.13,42.52,2.91,17.06,0.0
2019-01-28,10.04,18.12,2.95,55.28,2.98,17.45,0.0
2019-01-29,11.1,18.98,3.93,53.59,1.75,17.01,0.0
2019-01-30,12.11,19.37,5.88,44.93,1.87,17.23,0.0
2019-01-31,11.5,19.65,6.12,45.16,1.67,14.31,0.0
2019-02-01,13.75,23.7,6.65,31.26,2.96,17.48,0.0
2019-02-02,11.98,18.49,6.53,44.43,4.78,17.61,0.0
2019-02-03,7.55,14.51,2.17,46.13,3.54,18.59,0.0
2019-02-04,7.41,13.96,0.43,40.53,2.38,18.46,0.0
2019-02-05,8.46,17.05,-0.65,27.78,1.67,18.95,0.0
2019-02-06,9.56,18.55,0.76,23.02,1.82,18.75,0.0
2019-02-07,11.53,20.22,3.8,21.86,1.47,18.66,0.0
2019-02-08,11.94,20.22,6.09,24.38,1.13,18.73,0.0
2019-02-09,11.87,20.54,5.93,28.96,1.37,18.8,0.0
2019-02-10,13.38,21.51,4.98,28.58,0.89,18.94,0.0
2019-02-11,13.95,23.08,5.0,25.09,1.63,18.97,0.0
2019-02-12,11.96,20.36,5.05,46.19,3.05,19.27,0.0
2019-02-13,9.54,16.31,4.26,41.47,3.26,18.98,0.0
2019-02-14,8.04,16.2,1.94,32.45,3.18,20.07,0.0
2019-02-15,7.54,15.95,1.36,30.93,3.12,19.81,0.0
